id,ticker_symbol,company_name,cik_number
497,anth,Anthera Pharmaceuticals Inc ,1316175
498,antm,"Anthem, Inc. ",1156039
499,anvi,"ANVI GLOBAL HOLDINGS, INC. ",1570132
500,anvs,"Annovis Bio, Inc. ",1477845
501,anvv,Anvia Holdings Corp ,1681282
502,anwwq,AEGEAN MARINE PETROLEUM NETWORK INC. ,1344376
503,any,Sphere 3D Corp ,1591956
504,aobc,"SMITH & WESSON BRANDS, INC. ",1092796
505,aols,"AEOLUS PHARMACEUTICALS, INC. ",1261734
506,aon,Aon plc ,315293
507,aos,SMITH A O CORP ,91142
508,aosl,ALPHA & OMEGA SEMICONDUCTOR Ltd ,1387467
509,aout,"American Outdoor Brands, Inc. ",1808997
510,aoxy,ADVANCED OXYGEN TECHNOLOGIES INC ,352991
511,ap,AMPCO PITTSBURGH CORP ,6176
512,apa,APACHE CORP ,6769
513,apam,Artisan Partners Asset Management Inc. ,1517302
514,apcx,AppTech Corp. ,1070050
515,apd,AIR PRODUCTS & CHEMICALS INC /DE/ ,2969
516,apdn,APPLIED DNA SCIENCES INC ,744452
517,apei,AMERICAN PUBLIC EDUCATION INC ,1201792
518,apelf,"ALPS ALPINE CO., LTD. ",900278
519,apely,"ALPS ALPINE CO., LTD. ",900278
520,apen,"Apollo Endosurgery, Inc. ",1251769
521,apex,Apex Global Brands Inc. ,844161
522,apg,APi Group Corp ,1796209
523,apgi,AMERICAN POWER GROUP Corp ,932699
524,aph,AMPHENOL CORP /DE/ ,820313
525,apha,Aphria Inc. ,1733418
526,aphd,APPIPHANY TECHNOLOGIES HOLDINGS CORP ,1490054
527,aphdd,APPIPHANY TECHNOLOGIES HOLDINGS CORP ,1490054
528,aphe,ALPHA ENERGY INC ,855787
529,api,"Agora, Inc. ",1802883
530,aple,"Apple Hospitality REIT, Inc. ",1418121
531,apls,"Apellis Pharmaceuticals, Inc. ",1492422
532,aplt,Applied Therapeutics Inc. ,1697532
533,apm,Aptorum Group Ltd ,1734005
534,apo,"Apollo Global Management, Inc. ",1411494
535,apog,"APOGEE ENTERPRISES, INC. ",6845
536,apop,Cellect Biotechnology Ltd. ,1671502
537,apo-pa,"Apollo Global Management, Inc. ",1411494
538,apo-pb,"Apollo Global Management, Inc. ",1411494
539,appb,Applied BioSciences Corp. ,1607549
